2025-11-03 14:30:46,406 - INFO - Memulai aplikasi anti-spoofing
2025-11-03 14:30:47,887 - INFO - Stream dimulai
2025-11-03 14:30:47,910 - ERROR - Frame 1: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,209 - ERROR - Frame 2: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,309 - ERROR - Frame 3: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,342 - ERROR - Frame 4: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,375 - ERROR - Frame 5: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,412 - ERROR - Frame 6: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,442 - ERROR - Frame 7: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,517 - ERROR - Frame 8: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,575 - ERROR - Frame 9: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,608 - ERROR - Frame 10: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,641 - ERROR - Frame 11: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,675 - ERROR - Frame 12: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,708 - ERROR - Frame 13: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,741 - ERROR - Frame 14: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,774 - ERROR - Frame 15: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,808 - ERROR - Frame 16: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,841 - ERROR - Frame 17: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,875 - ERROR - Frame 18: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,908 - ERROR - Frame 19: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,941 - ERROR - Frame 20: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:48,976 - ERROR - Frame 21: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,008 - ERROR - Frame 22: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,043 - ERROR - Frame 23: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,080 - ERROR - Frame 24: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,116 - ERROR - Frame 25: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,158 - ERROR - Frame 26: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,181 - ERROR - Frame 27: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,234 - ERROR - Frame 28: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,261 - ERROR - Frame 29: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,278 - ERROR - Frame 30: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,308 - ERROR - Frame 31: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,342 - ERROR - Frame 32: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,375 - ERROR - Frame 33: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,408 - ERROR - Frame 34: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,443 - ERROR - Frame 35: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,475 - ERROR - Frame 36: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,509 - ERROR - Frame 37: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,542 - ERROR - Frame 38: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,575 - ERROR - Frame 39: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,608 - ERROR - Frame 40: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,643 - ERROR - Frame 41: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,675 - ERROR - Frame 42: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,710 - ERROR - Frame 43: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,742 - ERROR - Frame 44: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,774 - ERROR - Frame 45: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,808 - ERROR - Frame 46: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,842 - ERROR - Frame 47: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,914 - ERROR - Frame 48: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,942 - ERROR - Frame 49: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:49,974 - ERROR - Frame 50: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,008 - ERROR - Frame 51: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,041 - ERROR - Frame 52: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,074 - ERROR - Frame 53: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,108 - ERROR - Frame 54: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,141 - ERROR - Frame 55: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,174 - ERROR - Frame 56: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,207 - ERROR - Frame 57: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,241 - ERROR - Frame 58: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,274 - ERROR - Frame 59: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,307 - ERROR - Frame 60: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,341 - ERROR - Frame 61: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,374 - ERROR - Frame 62: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,407 - ERROR - Frame 63: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,441 - ERROR - Frame 64: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,474 - ERROR - Frame 65: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,507 - ERROR - Frame 66: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,540 - ERROR - Frame 67: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,574 - ERROR - Frame 68: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,607 - ERROR - Frame 69: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,640 - ERROR - Frame 70: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,674 - ERROR - Frame 71: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,707 - ERROR - Frame 72: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,740 - ERROR - Frame 73: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,774 - ERROR - Frame 74: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,807 - ERROR - Frame 75: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,840 - ERROR - Frame 76: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,874 - ERROR - Frame 77: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,908 - ERROR - Frame 78: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,940 - ERROR - Frame 79: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:50,974 - ERROR - Frame 80: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,008 - ERROR - Frame 81: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,040 - ERROR - Frame 82: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,074 - ERROR - Frame 83: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,107 - ERROR - Frame 84: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,140 - ERROR - Frame 85: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,173 - ERROR - Frame 86: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,207 - ERROR - Frame 87: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,240 - ERROR - Frame 88: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,274 - ERROR - Frame 89: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,307 - ERROR - Frame 90: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,340 - ERROR - Frame 91: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,373 - ERROR - Frame 92: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,407 - ERROR - Frame 93: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,440 - ERROR - Frame 94: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,473 - ERROR - Frame 95: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,507 - ERROR - Frame 96: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,540 - ERROR - Frame 97: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,573 - ERROR - Frame 98: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,607 - ERROR - Frame 99: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,640 - ERROR - Frame 100: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
